id,news
1,"Российская экономика растет быстрее прогнозов, сообщает Центральный банк."
2,"Новый смартфон от компании XYZ обладает уникальными характеристиками и функциями."
3,"Сборная России по хоккею победила в финале чемпионата мира."
4,"Эксперты предупреждают о рисках нового штамма вируса."
5,"В Москве прошел ежегодный фестиваль науки и технологий."
6,"Производитель автомобилей объявил о выпуске новой экологически чистой модели."
7,"Цены на нефть стабилизировались после резкого падения."
8,"Научные исследования подтверждают важность сна для здоровья."
9,"На Красной площади прошел военный парад в честь Дня Победы."
10,"Инвестиции в зеленую энергетику продолжают расти по всему миру."
